name,tag,oNamCol,product
Sant_0060,Sant_0060,6-phospho 3-hexuloisomerase,6-phospho 3-hexuloisomerase
Sant_0061,Sant_0061,3-hexulose-6-phosphate synthase,3-hexulose-6-phosphate synthase
Sant_0062,Sant_0062,Dak1 domain-containing protein,Dak1 domain-containing protein
Sant_0063,Sant_0063,Dihydroxyacetone kinase L subunit,Dihydroxyacetone kinase L subunit
Sant_0064,Sant_0064,Mannitol-1-phosphate 5-dehydrogenase,Mannitol-1-phosphate 5-dehydrogenase
Sant_0065,Sant_0065,PTS system mannose/fructose/sorbose family IID component,PTS system mannose/fructose/sorbose family IID component
Sant_0066,Sant_0066,putative PTS system IIC component,putative PTS system IIC component
Sant_0067,Sant_0067,putative PTS system IIB component,putative PTS system IIB component
Sant_0068,Sant_0068,putative PTS system IIA component,putative PTS system IIA component
Sant_0069,Sant_0069,sorbitol-6-phosphate 2-dehydrogenase,sorbitol-6-phosphate 2-dehydrogenase
Sant_0070,Sant_0070,Transcriptional regulator of PTS system,Transcriptional regulator of PTS system
trmE,Sant_0071,trmE,tRNA modification GTPase
yidC,Sant_0072,yidC,Membrane protein
yidD,Sant_0073,yidD,membrane protein
rnpA,Sant_0074,rnpA,Ribonuclease P protein component
rpmH,Sant_0075,rpmH,50S ribosomal protein L34
Sant_0076,Sant_0076,hypothetical protein,hypothetical protein
dnaA,Sant_0077,dnaA,Chromosomal replication initiator protein
dnaN,Sant_0078,dnaN,DNA polymerase III beta-subunit
recF,Sant_0079,recF,DNA replication and repair protein
gyrB,Sant_0080,gyrB,DNA gyrase subunit B
yidA,Sant_0081,yidA,Sugar phosphatase
dgoR,Sant_0082,dgoR,Galactonate operon transcriptional repressor
dgoK,Sant_0083,dgoK,2-dehydro-3-deoxygalactonokinase
Sant_0084,Sant_0084,2-dehydro-3-deoxyphosphogalactonate aldolase,2-dehydro-3-deoxyphosphogalactonate aldolase
Sant_0085,Sant_0085,Pathogenicity island effector protein,Pathogenicity island effector protein
Sant_0086,Sant_0086,Galactonate dehydratase,Galactonate dehydratase
dgoT,Sant_0087,dgoT,D-galactonate transporter
Sant_0088,Sant_0088,Ankyrin repeat domain protein,Ankyrin repeat domain protein
Sant_0089,Sant_0089,Putative lipoprotein,Putative lipoprotein
ibpA,Sant_0090,ibpA,Heat shock protein A
ibpB,Sant_0091,ibpB,Heat shock protein B
avtA,Sant_0092,avtA,Valine-pyruvate aminotransferase
Sant_0093,Sant_0093,Putative transmembrane protein,Putative transmembrane protein
Sant_0094,Sant_0094,D-isomer specific 2-hydroxyacid dehydrogenase,D-isomer specific 2-hydroxyacid dehydrogenase
Sant_0095,Sant_0095,Putative acetyltransferase,Putative acetyltransferase
glyQ,Sant_0096,glyQ,Glycyl-tRNA synthetase subunit alpha
glyS,Sant_0097,glyS,Glycyl-tRNA synthetase beta chain
Sant_0098,Sant_0098,Lipoprotein,Lipoprotein
mtlA,Sant_0099,mtlA,PTS system mannitol-specific IIABC component
mtlD,Sant_0100,mtlD,Mannitol-1-phosphate 5-dehydrogenase
mtlR,Sant_0101,mtlR,Mannitol operon repressor
sodA,Sant_0102,sodA,Manganese superoxide dismutase
Sant_0103,Sant_0103,Formate dehydrogenase,Formate dehydrogenase
Sant_0104,Sant_0104,hypothetical protein,hypothetical protein
yibF,Sant_0105,yibF,Glutathione S-transferase family protein
Sant_0106,Sant_0106,Aldehyde dehydrogenase family protein,Aldehyde dehydrogenase family protein
Sant_0107,Sant_0107,Putative multidrug translocase,Putative multidrug translocase
Sant_0108,Sant_0108,Acyltransferase 3,Acyltransferase 3
Sant_0109,Sant_0109,AraC family transcriptional regulator,AraC family transcriptional regulator
Sant_0110,Sant_0110,Isochorismatase family protein,Isochorismatase family protein
Sant_0111,Sant_0111,ThiJ\PfpI domain-containing protein,ThiJ\PfpI domain-containing protein
Sant_0112,Sant_0112,Glyoxalase/bleomycin resistance protein/dioxygenase,Glyoxalase/bleomycin resistance protein/dioxygenase
Sant_0113,Sant_0113,hypothetical protein,hypothetical protein
Sant_0114,Sant_0114,Glyoxalase\bleomycin resistance protein\dioxygenase,Glyoxalase\bleomycin resistance protein\dioxygenase
Sant_0115,Sant_0115,Cupin domain-containing protein,Cupin domain-containing protein
Sant_0116,Sant_0116,Nitroreductase,Nitroreductase
Sant_0117,Sant_0117,Multidrug resistance protein,Multidrug resistance protein
Sant_0118,Sant_0118,Metal dependent phosphohydrolase,Metal dependent phosphohydrolase
Sant_0119,Sant_0119,MarR-family transcriptional regulator,MarR-family transcriptional regulator
Sant_0120,Sant_0120,Organic hydroperoxide resistance protein,Organic hydroperoxide resistance protein
eptB,Sant_0121,eptB,Phosphoethanolamine transferase
proK,Sant_t0122,proK tRNA,tRNA-Pro
flhD,Sant_0123,flhD,Transcriptional activator
flhC,Sant_0124,flhC,Flagellar transcriptional activator
motA,Sant_0125,motA,Chemotaxis protein
motB,Sant_0126,motB,Chemotaxis protein
flhB,Sant_0127,flhB,Flagellar biosynthetic protein
flhA,Sant_0128,flhA,Flagellar biosynthetic protein
flgN,Sant_0129,flgN,Flagellar synthesis protein
flgM,Sant_0130,flgM,Negative regulator of flagellin synthesis protein
flgA,Sant_0131,flgA,Flagellar basal body P-ring protein
flgB,Sant_0132,flgB,Flagellar basal body rod protein
flgC,Sant_0133,flgC,Flagellar basal body rod protein
flgD,Sant_0134,flgD,Basal body rod modification protein
flgE,Sant_0135,flgE,Flagellar hook protein
flgF,Sant_0136,flgF,Flagellar basal body rod protein
flgG,Sant_0137,flgG,Flagellar basal body rod protein
flgH,Sant_0138,flgH,Flagellar L-ring protein precursor
flgI,Sant_0139,flgI,Flagellar P-ring protein proecursor
flgJ,Sant_0140,flgJ,Flagellar protein
flgK,Sant_0141,flgK,Flagellar hook-associated protein 1
flgL,Sant_0142,flgL,Flagellar hook-associated protein 3
fliR,Sant_0143,fliR,Flagellar biosynthetic protein
fliQ,Sant_0144,fliQ,Flagellar biosynthetic protein
fliP,Sant_0145,fliP,Flagellar biosynthetic protein
fliO,Sant_0146,fliO,Flagellar protein
fliN,Sant_0147,fliN,Flagellar motor switch protein
fliM,Sant_0148,fliM,Flagellar motor switch protein
fliL,Sant_0149,fliL,Flagellar basal body associated protein
fliK,Sant_0150,fliK,Flagellar hook length control protein
fliJ,Sant_0151,fliJ,Flagellar protein
fliI,Sant_0152,fliI,Flagellum-specific ATP synthase
fliH,Sant_0153,fliH,Flagellar assembly protein
fliG,Sant_0154,fliG,Flagellar motor switch protein
fliF,Sant_0155,fliF,Flagellar basal body M-ring protein
fliE,Sant_0156,fliE,Flagellar hook-basal body complex protein
fliT,Sant_0157,fliT,Flagellar protein
fliS,Sant_0158,fliS,Flagellar protein
fliD,Sant_0159,fliD,Flagellar hook-associated protein 2
fliC1,Sant_0160,fliC1,Flagellin protein
fliC2,Sant_0161,fliC2,Flagellar filament structural protein
fliA,Sant_0162,fliA,RNA polymerase sigma factor for flagellar operon
dppA,Sant_0163,dppA,Periplasmic dipeptide transport protein
dppB,Sant_0164,dppB,Dipeptide ABC transporter permease protein
dppC,Sant_0165,dppC,Dipeptide transport system permease protein
dppD,Sant_0166,dppD,Dipeptide ABC transporter ATP-binding protein
dppF,Sant_0167,dppF,Dipeptide transport ATP-binding protein
Sant_0168,Sant_0168,Transcriptional regulator putative LuxR family,Transcriptional regulator putative LuxR family
codB1,Sant_0169,codB1,Cytosine transporter
Sant_0170,Sant_0170,Putative transcriptional regulator PAS and GerEdomains,Putative transcriptional regulator PAS and GerEdomains
Sant_0171,Sant_0171,Nitrate reductase 2 alpha subunit,Nitrate reductase 2 alpha subunit
Sant_0172,Sant_0172,Cryptic nitrate reductase 2 subunit beta,Cryptic nitrate reductase 2 subunit beta
Sant_0173,Sant_0173,Nirate reductase delta subunit,Nirate reductase delta subunit
narV,Sant_0174,narV,Nitrate reductase gamma subunit
bcsZ,Sant_0175,bcsZ,Glycoside hydrolase family 8
bcsD,Sant_0176,bcsD,Cellulose synthase subunit D
bcsC,Sant_0177,bcsC,Cellulose synthase operon C domain protein
bcsB,Sant_0178,bcsB,Cellulose synthase regulator protein
bcsA,Sant_0179,bcsA,Cellulose synthase catalytic subunit
Sant_0180,Sant_0180,Cellulose synthase operon protein,Cellulose synthase operon protein
Sant_0181,Sant_0181,hypothetical protein,hypothetical protein
yhjK,Sant_0182,yhjK,Biofilm formation regulator
yhjJ,Sant_0183,yhjJ,M16 peptidase
kdgK,Sant_0184,kdgK,2-dehydro-3-deoxyglucokinase
Sant_0185,Sant_0185,AsmA family involved in outer membrane biogenesis,AsmA family involved in outer membrane biogenesis
cdh,Sant_0186,cdh,CDP-diacylglycerol pyrophosphatase
yhjE,Sant_0187,yhjE,H+/metabolite symporter
yhjD,Sant_0188,yhjD,Ribonuclease
gor,Sant_0189,gor,glutathione reductase
yhiR,Sant_0190,yhiR,DNA utilization protein YhiR
codB2,Sant_0191,codB2,Cytosine transporter
marC,Sant_0192,marC,Multiple drug resistance protein
Sant_0193,Sant_0193,Putative cystein synthase,Putative cystein synthase
Sant_0194,Sant_0194,DoxX family protein,DoxX family protein
prlC,Sant_0195,prlC,Oligopeptidase A
Sant_0196,Sant_0196,Methyl transferase,Methyl transferase
Sant_0197,Sant_0197,Formate dehydrogenase,Formate dehydrogenase
Sant_0198,Sant_0198,Transcriptional regulator,Transcriptional regulator
uspA,Sant_0199,uspA,Universal stress protein A
uspB,Sant_0200,uspB,Universal stress protein B
pitA,Sant_0201,pitA,Low-affinity inorganic phosphate transporter 1
Sant_0202,Sant_0202,Putative FAD-dependent oxidoreductase,Putative FAD-dependent oxidoreductase
Sant_0203,Sant_0203,Putative salicylate hyroxylase,Putative salicylate hyroxylase
Sant_0204,Sant_0204,Putative dioxygenase,Putative dioxygenase
Sant_0205,Sant_0205,Fumarylacetoacetate (FAA) hydrolase,Fumarylacetoacetate (FAA) hydrolase
Sant_0206,Sant_0206,Endoribonuclease L-PSP,Endoribonuclease L-PSP
Sant_0207,Sant_0207,ABC transporter inner membrane permease,ABC transporter inner membrane permease
Sant_0208,Sant_0208,ABC transporter ATP binding component,ABC transporter ATP binding component
Sant_0209,Sant_0209,ABC transporter subtrate-binding protein,ABC transporter subtrate-binding protein
pydB,Sant_0210,pydB,Putative alpha\beta hydrolase
Sant_0211,Sant_0211,GntR family transcriptional regulator,GntR family transcriptional regulator
Sant_0212,Sant_0212,AsnC family transcriptional regulator,AsnC family transcriptional regulator
Sant_0213,Sant_0213,Putative acid CoA ligase,Putative acid CoA ligase
Sant_0214,Sant_0214,ABC transporter inner membrane component,ABC transporter inner membrane component
Sant_0215,Sant_0215,ABC transporter ATP binding component,ABC transporter ATP binding component
Sant_0216,Sant_0216,ABC-type nitrate\sulfonate\bicarbonate transport,ABC-type nitrate\sulfonate\bicarbonate transport
Sant_0217,Sant_0217,Phenylacetic acid degradation-related protein,Phenylacetic acid degradation-related protein
Sant_0218,Sant_0218,Putative alcohol dehydrogenase,Putative alcohol dehydrogenase
Sant_0219,Sant_0219,Putative dioxygenase,Putative dioxygenase
Sant_0220,Sant_0220,Putative glutathione S-transferase,Putative glutathione S-transferase
Sant_0221,Sant_0221,Lipase,Lipase
Sant_0222,Sant_0222,MFS transporter,MFS transporter
dcrB,Sant_0223,dcrB,Periplasmic protein
yhhQ,Sant_0224,yhhQ,Inner membrane protein
tusA,Sant_0225,tusA,Sulfurtransferase (tRNA 2-thiouridine synthesizing protein)
yhhN,Sant_0226,yhhN,Membrane protein
Sant_0227,Sant_0227,hypothetical protein,hypothetical protein
yhhL,Sant_0228,yhhL,Putative membrane protein
rsmD,Sant_0229,rsmD,Putative adenine specific methylase
ftsY,Sant_0230,ftsY,Cell division protein
ftsE,Sant_0231,ftsE,Cell division ATP-binding protein
ftsX,Sant_0232,ftsX,Cell division protein
rpoH,Sant_0233,rpoH,RNA polymerase sigma-32 factor
yhhK,Sant_0234,yhhK,Putative acetyltransferase
ugpB,Sant_0235,ugpB,Putative glycerol-3-phosphate-binding periplasmic protein
ugpA,Sant_0236,ugpA,Sn-glycerol-3-phosphate transport system permease protein
ugpE,Sant_0237,ugpE,Sn-glycerol-3-phosphate transport system permease protein
ugpC,Sant_0238,ugpC,Sn-glycerol-3-phosphate transport ATP-binding cassette
ugpQ,Sant_0239,ugpQ,Glycerophosphoryl diester phosphodiesterase
ggt,Sant_0240,ggt,Gamma-glutamyl transferase
yigM,Sant_0241,yigM,putative membrane protein
Sant_0242,Sant_0242,hypothetical protein,hypothetical protein
metR,Sant_0243,metR,LysR family transcriptional regulator
metE,Sant_0244,metE,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
ysgA,Sant_0245,ysgA,Carboxymethylenebutenolidase
udp,Sant_0246,udp,Uridine phosphorylase
Sant_0247,Sant_0247,Putative membrane-associated protein,Putative membrane-associated protein
rmuC,Sant_0248,rmuC,DNA recombination protein
ubiE,Sant_0249,ubiE,Ubiquinone/menaquinone biosynthesis methyltransferase
yigP,Sant_0250,yigP,membrane protein
ubiB,Sant_0251,ubiB,Putative ubiquinone biosynthesis protein
tatA,Sant_0252,tatA,Sec-independent protein translocase protein
tatB,Sant_0253,tatB,Sec-independent protein translocase protein
tatC,Sant_0254,tatC,Sec-independent protein translocase subunit
rfaH,Sant_0255,rfaH,Transcriptional activator
ubiD,Sant_0256,ubiD,3-octaprenyl-4-hydroxybenzoate decarboxylase
fre,Sant_0257,fre,FMN (flavin) reductase
pepQ,Sant_0258,pepQ,Proline dipeptidase
yigZ,Sant_0259,yigZ,Putative elongation factor
trkH,Sant_0260,trkH,Potassium transporter
hemG,Sant_0261,hemG,Protoporphyrinogen oxidase
16S rRNA,Sant_r0262,16S rRNA,16S ribosomal RNA
gltU,Sant_t0263,gltU tRNA,tRNA-Glu
23S rRNA,Sant_r0264,23S rRNA,23S ribosomal RNA
5S rRNA,Sant_r0265,5S rRNA,5S ribosomal RNA
aspT,Sant_t0266,aspT tRNA,tRNA-Asp
trpT,Sant_t0267,trpT tRNA,tRNA-Trp
Sant_0268,Sant_0268,sugar ABC transporter substrate-binding protein,sugar ABC transporter substrate-binding protein
ytfR,Sant_0269,ytfR,putative ABC transporter ATP-binding protein
ytfT,Sant_0270,ytfT,Sugar ABC superfamily ATP binding cassette transporter
yjfF,Sant_0271,yjfF,Inner membrane ABC transporter permease
hdfR,Sant_0272,hdfR,Transcriptional regulator
Sant_0273,Sant_0273,hypothetical protein,hypothetical protein
yifB,Sant_0274,yifB,Magnesium-chelatase
ilvL,Sant_0275,ilvL,IlvGMEDA operon attenuator peptide
ilvX,Sant_0276,ilvX,expressed protein ilvX
ilvG,Sant_0277,ilvG,Acetolactate synthase isozyme II large subunit
ilvM,Sant_0278,ilvM,Acetolactate synthase II regulatory subunit
ilvE,Sant_0279,ilvE,Branched-chain amino acid aminotransferase
ilvD,Sant_0280,ilvD,Dihydroxy-acid dehydratase
ilvA,Sant_0281,ilvA,Threonine dehydratase
ilvY,Sant_0282,ilvY,DNA-binding transcriptional regulator
ilvC,Sant_0283,ilvC,Ketol-acid reductoisomerase
rep,Sant_0284,rep,ATP-dependent DNA helicase
gppA,Sant_0285,gppA,Guanosine pentaphosphate phosphohydrolase
rhlB,Sant_0286,rhlB,ATP-dependent RNA helicase
trxA,Sant_0287,trxA,Thioredoxin 1
rho,Sant_0288,rho,Transcription termination factor
rfe,Sant_0289,rfe,Undecaprenyl-phosphate alpha-N-acetylglucosaminyltransferase
wzzE,Sant_0290,wzzE,Lipopolysaccharide biosynthesis protein
rffE,Sant_0291,rffE,UDP-N-acetylglucosamine 2-epimerase
rffD,Sant_0292,rffD,UDP-N-acetyl-D-mannosamine dehydrogenase
rffG,Sant_0293,rffG,DTDP-D-glucose-46-dehydratase
rffH,Sant_0294,rffH,Glucose-1-phosphate thymidylyltransferase
rffc,Sant_0295,rffc,TDP-fucosamine acetyltransferase
rffA1,Sant_0296,rffA1,TDP-4-oxo-6-deoxy-D-glucose transaminase
wzxE,Sant_0297,wzxE,Putative lipopolysaccharide biosynthesis protein
Sant_0298,Sant_0298,4-alpha-L-fucosyltransferase,4-alpha-L-fucosyltransferase
wzyE,Sant_0299,wzyE,Putative ECA polymerase
rffM,Sant_0300,rffM,Putative UDP-N-acetyl-D-mannosaminuronic acid transferase
argX,Sant_t0301,argX tRNA,tRNA-Arg
hisR,Sant_t0302,hisR tRNA,tRNA-His
leuT,Sant_t0303,leuT tRNA,tRNA-Leu
proM,Sant_t0304,proM tRNA,tRNA-Pro
Sant_0305,Sant_0305,Putative sugar-nucleotide epimerase/dehydratase,Putative sugar-nucleotide epimerase/dehydratase
Sant_0306,Sant_0306,DegT/DnrJ/EryC1/StrS aminotransferase,DegT/DnrJ/EryC1/StrS aminotransferase
Sant_0307,Sant_0307,NUDIX hydrolase,NUDIX hydrolase
Sant_0308,Sant_0308,D-ribulokinase,D-ribulokinase
Sant_0309,Sant_0309,L-fucose isomerase  2 domain-containing protein,L-fucose isomerase _2 domain-containing protein
Sant_0310,Sant_0310,Major facilitator superfamily transporter,Major facilitator superfamily transporter
Sant_0311,Sant_0311,Dihydrodipicolinate synthetase family,Dihydrodipicolinate synthetase family
Sant_0312,Sant_0312,hypothetical protein,hypothetical protein
scrR,Sant_0313,scrR,LacI family transcriptional regulator
Sant_0314,Sant_0314,Antibiotic acetyltransferase,Antibiotic acetyltransferase
bglG,Sant_0315,bglG,Transcriptional antiterminator
Sant_0316,Sant_0316,PTS system EIIA component,PTS system EIIA component
Sant_0317,Sant_0317,PTS system IIB component,PTS system IIB component
yajO,Sant_0318,yajO,PTS system IIBC component
Sant_0319,Sant_0319,Tagatose-bisphosphate aldolase,Tagatose-bisphosphate aldolase
Sant_0320,Sant_0320,Ketose-bisphosphate aldolase,Ketose-bisphosphate aldolase
Sant_0321,Sant_0321,hypothetical protein,hypothetical protein
Sant_0322,Sant_0322,Putative methyltransferase domain protein,Putative methyltransferase domain protein
Sant_0323,Sant_0323,5-carboxymethyl-2-hydroxymuconate delta-isomerase,5-carboxymethyl-2-hydroxymuconate delta-isomerase
hemY,Sant_0324,hemY,Protoheme IX biogenesis protein
hemX,Sant_0325,hemX,Uroporphyrinogen III C-methyltransferase
hemD,Sant_0326,hemD,Uroporphyrinogen-III synthase
hemC,Sant_0327,hemC,Porphobilinogen deaminase
cyaA,Sant_0328,cyaA,Adenylate cyclase
Sant_0329,Sant_0329,hypothetical protein,hypothetical protein
dapF,Sant_0330,dapF,Diaminopimelate epimerase
Sant_0331,Sant_0331,hypothetical protein,hypothetical protein
xerC,Sant_0332,xerC,Site-specific tyrosine recombinase
yigB,Sant_0333,yigB,Flavin mononucleotide phosphatase
uvrD,Sant_0334,uvrD,DNA-dependent helicase II
corA,Sant_0335,corA,Magnesium\nickel\cobalt transporter
Sant_0336,Sant_0336,Putative ammonia monooxygenase,Putative ammonia monooxygenase
rarD,Sant_0337,rarD,Chloramphenicol-sensitive protein
Sant_0338,Sant_0338,hypothetical protein,hypothetical protein
pldA,Sant_0339,pldA,Phospholipase A
recQ,Sant_0340,recQ,ATP-dependent DNA helicase
rhtC,Sant_0341,rhtC,Threonine efflux system
pldB,Sant_0342,pldB,Lysophospholipase L2
yigL,Sant_0343,yigL,Putative sugar phosphatase
Sant_ps0344,Sant_ps0344,Pseudogene,
yhhW,Sant_0345,yhhW,Pirin family protein
gntR,Sant_0346,gntR,Gluconate utilization operon repressor
gntT,Sant_0347,gntT,High-affinity gluconate transport protein
yhgN,Sant_0348,yhgN,DITP- and XTP- hydrolyzing protein
asd,Sant_0349,asd,Aspartate-semialdehyde dehydrogenase
glgB,Sant_0350,glgB,14-alpha-glucan-branching enzyme
glgX1,Sant_0351,glgX1,Glycogen debranching enzyme
glgC,Sant_0352,glgC,Glucose-1-phosphate adenylyltransferase
glgA,Sant_0353,glgA,Glycogen synthase
glgP,Sant_0354,glgP,Glycogen phosphorylase
glpD,Sant_0355,glpD,Glycerol-3-phosphate dehydrogenase
glpE,Sant_0356,glpE,Glycerol-3-phosphate regulon protein
glpG,Sant_0357,glpG,Intramembrane serine protease
glpR,Sant_0358,glpR,DNA-binding transcriptional repressor
malP,Sant_0359,malP,Maltodextrin phosphorylase
malQ,Sant_0360,malQ,4-alpha-glucanotransferase
gntY,Sant_0361,gntY,Putative DNA uptake protein
gntX,Sant_0362,gntX,Gluconate periplasmic binding protein with phosphoribosyltransferase domain GNT I system
bioH,Sant_0363,bioH,Putative biotin biosynthesis protein
ycjM,Sant_0364,ycjM,Sucrose phosphorylase
feoC,Sant_0365,feoC,Ferrous iron-sensing transcriptional regulator FeoC
feoB,Sant_0366,feoB,Ferrous iron transport protein B
feoA,Sant_0367,feoA,Ferrous iron transport protein A
tex,Sant_0368,tex,Putative transcriptional accessory protein
greA1,Sant_0369,greA1,GreA/GreB family elongation factor
ompR,Sant_0370,ompR,Osmolarity response regulator
envZ,Sant_0371,envZ,Osmolarity sensor protein 2-component sensor kinase
pckA,Sant_0372,pckA,Phosphoenolpyruvate carboxykinase
hslO,Sant_0373,hslO,Hsp33-like chaperonin
hslR,Sant_0374,hslR,Heat shock protein
yrfG,Sant_0375,yrfG,HAD-superfamily hydrolase
igaA,Sant_0376,igaA,Intracellular growth attenuator
nudE,Sant_0377,nudE,ADP-ribose diphosphatase
mrcA,Sant_0378,mrcA,Penicillin-binding protein 1A
hofM,Sant_0379,hofM,Putative Tfp assembly protein
hofN,Sant_0380,hofN,Fimbrial assembly family protein
Sant_0381,Sant_0381,hypothetical protein,hypothetical protein
hofQ,Sant_0382,hofQ,Putative outer membrane porin
aroK,Sant_0383,aroK,Shikimate kinase I
aroB,Sant_0384,aroB,3-dehydroquinate synthase
Sant_0385,Sant_0385,hypothetical protein,hypothetical protein
dam,Sant_0386,dam,DNA adenine methylase
rpe,Sant_0387,rpe,Ribulose-phosphate 3-epimerase
gph,Sant_0388,gph,Phosphoglycolate phosphatase
trpS,Sant_0389,trpS,Tryptophanyl-tRNA synthase
Sant_0390,Sant_0390,Cytosine deaminase,Cytosine deaminase
yjiR,Sant_0391,yjiR,GntR family transcriptional regulator
Sant_0392,Sant_0392,High-affinity nickel-transporter,High-affinity nickel-transporter
tsgA,Sant_0393,tsgA,Transport protein
ppiA,Sant_0394,ppiA,Peptidyl-prolyl cis-trans isomerase A (rotamase A)
Sant_0395,Sant_0395,hypothetical protein,hypothetical protein
fic,Sant_0396,fic,Filamentation induced by cAMP protein
pabA,Sant_0397,pabA,Para-aminobenzoate synthase component II
argD,Sant_0398,argD,Ornithine aminotransferase/Succinylornithine transaminase
yhfK,Sant_0399,yhfK,YccS/YhfK family integral membrane protein
crp,Sant_0400,crp,CAMP-regulatory protein
Sant_0401,Sant_0401,hypothetical protein,hypothetical protein
prkB,Sant_0402,prkB,Phosphoribulokinase
Sant_0403,Sant_0403,hypothetical protein,hypothetical protein
Sant_0404,Sant_0404,Lysine exporter protein,Lysine exporter protein
