tag,id,name,product
Sant_0034,33,-,Mannitol dehydrogenase domain protein
Sant_0035,34,-,"Transcriptional regulator, GntR family"
Sant_0036,35,-,hypothetical protein
Sant_0037,36,-,"Transcriptional regulator, AraC family"
Sant_0038,37,-,Putative Mucin-2 like methyltransferase
Sant_0039,38,-,hypothetical protein
Sant_0040,39,-,Putative histidinol-phosphate aminotransferase
Sant_0041,40,-,MATE efflux family protein
Sant_0042,41,-,Putative amino acid ligase of ATP-grasp superfamily
Sant_0043,42,-,Alpha/beta hydrolase fold protein
Sant_0044,43,-,"Transcriptional regulator, MerR family protein"
Sant_0045,44,-,HxlR family transcriptional regulator
Sant_0046,45,-,3-oxoacyl-(acyl carrier protein) synthase II
Sant_0047,46,manR,PTS modulated transcriptional antiterminator
Sant_0048,47,-,"Phosphocarrier, HPr family"
Sant_0049,48,-,"PTS system, fructose specific enzyme IIA component"
Sant_0050,49,-,"PTS system, fructose-specific, IIB component"
Sant_0051,50,-,"PTS system, fructose specific enzyme IIC component"
Sant_0052,51,-,Phosphoenolpyruvate-protein phosphotransferase
Sant_0053,52,-,"Fructose-1,6-bisphosphate aldolase, class II"
Sant_0054,53,-,hypothetical protein
Sant_0055,54,-,Phosphonoacetate hydrolase
Sant_0056,55,-,Phosphonate transport systems inner membrane component
Sant_0057,56,-,Phsophonate ABC transporter
Sant_0058,57,-,Phosphonate ABC transporter periplasmic phosphate-binding protein
Sant_0059,58,-,GntR-family transcriptional regulator
Sant_0060,59,-,6-phospho 3-hexuloisomerase
Sant_0061,60,-,3-hexulose-6-phosphate synthase
Sant_0062,61,-,Dak1 domain-containing protein
Sant_0063,62,-,"Dihydroxyacetone kinase, L subunit"
Sant_0064,63,-,Mannitol-1-phosphate 5-dehydrogenase
Sant_0065,64,-,PTS system mannose/fructose/sorbose family IID component
Sant_0066,65,-,putative PTS system IIC component
Sant_0067,66,-,putative PTS system IIB component
Sant_0068,67,-,putative PTS system IIA component
Sant_0069,68,-,sorbitol-6-phosphate 2-dehydrogenase
Sant_0070,69,-,Transcriptional regulator of PTS system
Sant_0071,70,trmE,tRNA modification GTPase
Sant_0072,71,yidC,Membrane protein
Sant_0073,72,yidD,membrane protein
Sant_0074,73,rnpA,Ribonuclease P protein component
Sant_0075,74,rpmH,50S ribosomal protein L34
Sant_0076,75,-,hypothetical protein
Sant_0077,76,dnaA,Chromosomal replication initiator protein
Sant_0078,77,dnaN,DNA polymerase III beta-subunit
Sant_0079,78,recF,DNA replication and repair protein
Sant_0080,79,gyrB,DNA gyrase subunit B
Sant_0081,80,yidA,Sugar phosphatase
Sant_0082,81,dgoR,Galactonate operon transcriptional repressor
Sant_0083,82,dgoK,2-dehydro-3-deoxygalactonokinase
Sant_0084,83,-,2-dehydro-3-deoxyphosphogalactonate aldolase
Sant_0085,84,-,Pathogenicity island effector protein
Sant_0086,85,-,Galactonate dehydratase
Sant_0087,86,dgoT,D-galactonate transporter
Sant_0088,87,-,Ankyrin repeat domain protein
Sant_0089,88,-,Putative lipoprotein
Sant_0090,89,ibpA,Heat shock protein A
Sant_0091,90,ibpB,Heat shock protein B
Sant_0092,91,avtA,Valine-pyruvate aminotransferase
Sant_0093,92,-,Putative transmembrane protein
Sant_0094,93,-,D-isomer specific 2-hydroxyacid dehydrogenase
Sant_0095,94,-,Putative acetyltransferase
Sant_0096,95,glyQ,Glycyl-tRNA synthetase subunit alpha
Sant_0097,96,glyS,Glycyl-tRNA synthetase beta chain
Sant_0098,97,-,Lipoprotein
Sant_0099,98,mtlA,PTS system mannitol-specific IIABC component
Sant_0100,99,mtlD,Mannitol-1-phosphate 5-dehydrogenase
Sant_0101,100,mtlR,Mannitol operon repressor
Sant_0102,101,sodA,Manganese superoxide dismutase
Sant_0103,102,-,Formate dehydrogenase
Sant_0104,103,-,hypothetical protein
Sant_0105,104,yibF,Glutathione S-transferase family protein
Sant_0106,105,-,Aldehyde dehydrogenase family protein
Sant_0107,106,-,Putative multidrug translocase
Sant_0108,107,-,Acyltransferase 3
Sant_0109,108,-,AraC family transcriptional regulator
Sant_0110,109,-,Isochorismatase family protein
Sant_0111,110,-,ThiJ\PfpI domain-containing protein
Sant_0112,111,-,Glyoxalase/bleomycin resistance protein/dioxygenase
Sant_0113,112,-,hypothetical protein
Sant_0114,113,-,Glyoxalase\bleomycin resistance protein\dioxygenase
Sant_0115,114,-,Cupin domain-containing protein
Sant_0116,115,-,Nitroreductase
Sant_0117,116,-,Multidrug resistance protein
Sant_0118,117,-,Metal dependent phosphohydrolase
Sant_0119,118,-,MarR-family transcriptional regulator
Sant_0120,119,-,Organic hydroperoxide resistance protein
Sant_0121,120,eptB,Phosphoethanolamine transferase
Sant_0123,121,flhD,Transcriptional activator
Sant_0124,122,flhC,Flagellar transcriptional activator
Sant_0125,123,motA,Chemotaxis protein
Sant_0126,124,motB,Chemotaxis protein
Sant_0127,125,flhB,Flagellar biosynthetic protein
Sant_0128,126,flhA,Flagellar biosynthetic protein
Sant_0129,127,flgN,Flagellar synthesis protein
Sant_0130,128,flgM,Negative regulator of flagellin synthesis protein
Sant_0131,129,flgA,Flagellar basal body P-ring protein
Sant_0132,130,flgB,Flagellar basal body rod protein
Sant_0133,131,flgC,Flagellar basal body rod protein
Sant_0134,132,flgD,Basal body rod modification protein
Sant_0135,133,flgE,Flagellar hook protein
Sant_0136,134,flgF,Flagellar basal body rod protein
Sant_0137,135,flgG,Flagellar basal body rod protein
Sant_0138,136,flgH,Flagellar L-ring protein precursor
Sant_0139,137,flgI,Flagellar P-ring protein proecursor
Sant_0140,138,flgJ,Flagellar protein
Sant_0141,139,flgK,Flagellar hook-associated protein 1
Sant_0142,140,flgL,Flagellar hook-associated protein 3
Sant_0143,141,fliR,Flagellar biosynthetic protein
Sant_0144,142,fliQ,Flagellar biosynthetic protein
Sant_0145,143,fliP,Flagellar biosynthetic protein
Sant_0146,144,fliO,Flagellar protein
Sant_0147,145,fliN,Flagellar motor switch protein
Sant_0148,146,fliM,Flagellar motor switch protein
Sant_0149,147,fliL,Flagellar basal body associated protein
Sant_0150,148,fliK,Flagellar hook length control protein
Sant_0151,149,fliJ,Flagellar protein
Sant_0152,150,fliI,Flagellum-specific ATP synthase
Sant_0153,151,fliH,Flagellar assembly protein
Sant_0154,152,fliG,Flagellar motor switch protein
Sant_0155,153,fliF,Flagellar basal body M-ring protein
Sant_0156,154,fliE,Flagellar hook-basal body complex protein
Sant_0157,155,fliT,Flagellar protein
Sant_0158,156,fliS,Flagellar protein
Sant_0159,157,fliD,Flagellar hook-associated protein 2
Sant_0160,158,fliC1,Flagellin protein
Sant_0161,159,fliC2,Flagellar filament structural protein
Sant_0162,160,fliA,RNA polymerase sigma factor for flagellar operon
Sant_0163,161,dppA,Periplasmic dipeptide transport protein
Sant_0164,162,dppB,"Dipeptide ABC transporter, permease protein"
Sant_0165,163,dppC,Dipeptide transport system permease protein
Sant_0166,164,dppD,"Dipeptide ABC transporter, ATP-binding protein"
Sant_0167,165,dppF,Dipeptide transport ATP-binding protein
Sant_0168,166,-,Transcriptional regulator putative LuxR family
Sant_0169,167,codB1,Cytosine transporter
Sant_0170,168,-,"Putative transcriptional regulator, PAS and GerEdomains"
Sant_0171,169,-,Nitrate reductase 2 alpha subunit
Sant_0172,170,-,Cryptic nitrate reductase 2 subunit beta
Sant_0173,171,-,Nirate reductase delta subunit
Sant_0174,172,narV,Nitrate reductase gamma subunit
Sant_0175,173,bcsZ,Glycoside hydrolase family 8
Sant_0176,174,bcsD,Cellulose synthase subunit D
Sant_0177,175,bcsC,Cellulose synthase operon C domain protein
Sant_0178,176,bcsB,Cellulose synthase regulator protein
Sant_0179,177,bcsA,Cellulose synthase catalytic subunit
Sant_0180,178,-,Cellulose synthase operon protein
Sant_0181,179,-,hypothetical protein
Sant_0182,180,yhjK,Biofilm formation regulator
Sant_0183,181,yhjJ,M16 peptidase
Sant_0184,182,kdgK,2-dehydro-3-deoxyglucokinase
Sant_0185,183,-,AsmA family involved in outer membrane biogenesis
Sant_0186,184,cdh,CDP-diacylglycerol pyrophosphatase
Sant_0187,185,yhjE,H+/metabolite symporter
Sant_0188,186,yhjD,Ribonuclease
Sant_0189,187,gor,glutathione reductase
Sant_0190,188,yhiR,DNA utilization protein YhiR
Sant_0191,189,codB2,Cytosine transporter
Sant_0192,190,marC,Multiple drug resistance protein
Sant_0193,191,-,Putative cystein synthase
Sant_0194,192,-,DoxX family protein
Sant_0195,193,prlC,Oligopeptidase A
Sant_0196,194,-,Methyl transferase
Sant_0197,195,-,Formate dehydrogenase
Sant_0198,196,-,Transcriptional regulator
Sant_0199,197,uspA,Universal stress protein A
Sant_0200,198,uspB,Universal stress protein B
Sant_0201,199,pitA,Low-affinity inorganic phosphate transporter 1
Sant_0202,200,-,Putative FAD-dependent oxidoreductase
Sant_0203,201,-,Putative salicylate hyroxylase
Sant_0204,202,-,Putative dioxygenase
Sant_0205,203,-,Fumarylacetoacetate (FAA) hydrolase
Sant_0206,204,-,Endoribonuclease L-PSP
Sant_0207,205,-,"ABC transporter, inner membrane permease"
Sant_0208,206,-,"ABC transporter, ATP binding component"
Sant_0209,207,-,"ABC transporter, subtrate-binding protein"
Sant_0210,208,pydB,Putative alpha\beta hydrolase
Sant_0211,209,-,GntR family transcriptional regulator
Sant_0212,210,-,AsnC family transcriptional regulator
Sant_0213,211,-,Putative acid CoA ligase
Sant_0214,212,-,"ABC transporter, inner membrane component"
Sant_0215,213,-,"ABC transporter, ATP binding component"
Sant_0216,214,-,ABC-type nitrate\sulfonate\bicarbonate transport
Sant_0217,215,-,Phenylacetic acid degradation-related protein
Sant_0218,216,-,Putative alcohol dehydrogenase
Sant_0219,217,-,Putative dioxygenase
Sant_0220,218,-,Putative glutathione S-transferase
Sant_0221,219,-,Lipase
Sant_0222,220,-,MFS transporter
Sant_0223,221,dcrB,Periplasmic protein
Sant_0224,222,yhhQ,Inner membrane protein
Sant_0225,223,tusA,Sulfurtransferase (tRNA 2-thiouridine synthesizing protein)
Sant_0226,224,yhhN,Membrane protein
Sant_0227,225,-,hypothetical protein
Sant_0228,226,yhhL,Putative membrane protein
Sant_0229,227,rsmD,Putative adenine specific methylase
Sant_0230,228,ftsY,Cell division protein
Sant_0231,229,ftsE,Cell division ATP-binding protein
Sant_0232,230,ftsX,Cell division protein
Sant_0233,231,rpoH,RNA polymerase sigma-32 factor
Sant_0234,232,yhhK,Putative acetyltransferase
Sant_0235,233,ugpB,Putative glycerol-3-phosphate-binding periplasmic protein
Sant_0236,234,ugpA,Sn-glycerol-3-phosphate transport system permease protein
Sant_0237,235,ugpE,Sn-glycerol-3-phosphate transport system permease protein
Sant_0238,236,ugpC,Sn-glycerol-3-phosphate transport ATP-binding cassette
Sant_0239,237,ugpQ,Glycerophosphoryl diester phosphodiesterase
Sant_0240,238,ggt,Gamma-glutamyl transferase
Sant_0241,239,yigM,putative membrane protein
Sant_0242,240,-,hypothetical protein
Sant_0243,241,metR,LysR family transcriptional regulator
Sant_0244,242,metE,5-methyltetrahydropteroyltriglutamate--homocyste ine methyltransferase
Sant_0245,243,ysgA,Carboxymethylenebutenolidase
Sant_0246,244,udp,Uridine phosphorylase
Sant_0247,245,-,Putative membrane-associated protein
Sant_0248,246,rmuC,DNA recombination protein
Sant_0249,247,ubiE,Ubiquinone/menaquinone biosynthesis methyltransferase
Sant_0250,248,yigP,membrane protein
Sant_0251,249,ubiB,Putative ubiquinone biosynthesis protein
Sant_0252,250,tatA,Sec-independent protein translocase protein
Sant_0253,251,tatB,Sec-independent protein translocase protein
Sant_0254,252,tatC,Sec-independent protein translocase subunit
Sant_0255,253,rfaH,Transcriptional activator
Sant_0256,254,ubiD,3-octaprenyl-4-hydroxybenzoate decarboxylase
Sant_0257,255,fre,FMN (flavin) reductase
Sant_0258,256,pepQ,Proline dipeptidase
Sant_0259,257,yigZ,Putative elongation factor
Sant_0260,258,trkH,Potassium transporter
Sant_0261,259,hemG,Protoporphyrinogen oxidase
Sant_0268,260,-,sugar ABC transporter substrate-binding protein
Sant_0269,261,ytfR,putative ABC transporter ATP-binding protein
Sant_0270,262,ytfT,Sugar ABC superfamily ATP binding cassette transporter
Sant_0271,263,yjfF,Inner membrane ABC transporter permease
Sant_0272,264,hdfR,Transcriptional regulator
Sant_0273,265,-,hypothetical protein
Sant_0274,266,yifB,Magnesium-chelatase
Sant_0275,267,ilvL,IlvGMEDA operon attenuator peptide
Sant_0276,268,ilvX,expressed protein ilvX
Sant_0277,269,ilvG,Acetolactate synthase isozyme II large subunit
Sant_0278,270,ilvM,Acetolactate synthase II regulatory subunit
Sant_0279,271,ilvE,Branched-chain amino acid aminotransferase
Sant_0280,272,ilvD,Dihydroxy-acid dehydratase
Sant_0281,273,ilvA,Threonine dehydratase
Sant_0282,274,ilvY,DNA-binding transcriptional regulator
Sant_0283,275,ilvC,Ketol-acid reductoisomerase
Sant_0284,276,rep,ATP-dependent DNA helicase
Sant_0285,277,gppA,Guanosine pentaphosphate phosphohydrolase
Sant_0286,278,rhlB,ATP-dependent RNA helicase
Sant_0287,279,trxA,Thioredoxin 1
Sant_0288,280,rho,Transcription termination factor
Sant_0289,281,rfe,Undecaprenyl-phosphate alpha-N-acetylglucosaminyltransferase
Sant_0290,282,wzzE,Lipopolysaccharide biosynthesis protein
Sant_0291,283,rffE,UDP-N-acetylglucosamine 2-epimerase
Sant_0292,284,rffD,UDP-N-acetyl-D-mannosamine dehydrogenase
Sant_0293,285,rffG,"DTDP-D-glucose-4,6-dehydratase"
Sant_0294,286,rffH,Glucose-1-phosphate thymidylyltransferase
Sant_0295,287,rffc,TDP-fucosamine acetyltransferase
Sant_0296,288,rffA1,TDP-4-oxo-6-deoxy-D-glucose transaminase
Sant_0297,289,wzxE,Putative lipopolysaccharide biosynthesis protein
Sant_0298,290,-,4-alpha-L-fucosyltransferase
Sant_0299,291,wzyE,Putative ECA polymerase
Sant_0300,292,rffM,Putative UDP-N-acetyl-D-mannosaminuronic acid transferase
Sant_0305,293,-,Putative sugar-nucleotide epimerase/dehydratase
Sant_0306,294,-,DegT/DnrJ/EryC1/StrS aminotransferase
Sant_0307,295,-,NUDIX hydrolase
Sant_0308,296,-,D-ribulokinase
Sant_0309,297,-,L-fucose isomerase _2 domain-containing protein
Sant_0310,298,-,Major facilitator superfamily transporter
Sant_0311,299,-,Dihydrodipicolinate synthetase family
Sant_0312,300,-,hypothetical protein
Sant_0313,301,scrR,LacI family transcriptional regulator
Sant_0314,302,-,Antibiotic acetyltransferase
Sant_0315,303,bglG,Transcriptional antiterminator
Sant_0316,304,-,"PTS system, EIIA component"
Sant_0317,305,-,"PTS system, IIB component"
Sant_0318,306,yajO,"PTS system, IIBC component"
Sant_0319,307,-,Tagatose-bisphosphate aldolase
Sant_0320,308,-,Ketose-bisphosphate aldolase
Sant_0321,309,-,hypothetical protein
Sant_0322,310,-,Putative methyltransferase domain protein
Sant_0323,311,-,5-carboxymethyl-2-hydroxymuconate delta-isomerase
Sant_0324,312,hemY,Protoheme IX biogenesis protein
Sant_0325,313,hemX,Uroporphyrinogen III C-methyltransferase
Sant_0326,314,hemD,Uroporphyrinogen-III synthase
Sant_0327,315,hemC,Porphobilinogen deaminase
Sant_0328,316,cyaA,Adenylate cyclase
Sant_0329,317,-,hypothetical protein
Sant_0330,318,dapF,Diaminopimelate epimerase
Sant_0331,319,-,hypothetical protein
Sant_0332,320,xerC,Site-specific tyrosine recombinase
Sant_0333,321,yigB,Flavin mononucleotide phosphatase
Sant_0334,322,uvrD,DNA-dependent helicase II
Sant_0335,323,corA,Magnesium\nickel\cobalt transporter
Sant_0336,324,-,Putative ammonia monooxygenase
Sant_0337,325,rarD,Chloramphenicol-sensitive protein
Sant_0338,326,-,hypothetical protein
Sant_0339,327,pldA,Phospholipase A
Sant_0340,328,recQ,ATP-dependent DNA helicase
Sant_0341,329,rhtC,Threonine efflux system
Sant_0342,330,pldB,Lysophospholipase L2
Sant_0343,331,yigL,Putative sugar phosphatase
Sant_0345,332,yhhW,Pirin family protein
Sant_0346,333,gntR,Gluconate utilization operon repressor
Sant_0347,334,gntT,High-affinity gluconate transport protein
Sant_0348,335,yhgN,DITP- and XTP- hydrolyzing protein
Sant_0349,336,asd,Aspartate-semialdehyde dehydrogenase
Sant_0350,337,glgB,"1,4-alpha-glucan-branching enzyme"
Sant_0351,338,glgX1,Glycogen debranching enzyme
Sant_0352,339,glgC,Glucose-1-phosphate adenylyltransferase
Sant_0353,340,glgA,Glycogen synthase
Sant_0354,341,glgP,Glycogen phosphorylase
Sant_0355,342,glpD,Glycerol-3-phosphate dehydrogenase
Sant_0356,343,glpE,Glycerol-3-phosphate regulon protein
Sant_0357,344,glpG,Intramembrane serine protease
Sant_0358,345,glpR,DNA-binding transcriptional repressor
Sant_0359,346,malP,Maltodextrin phosphorylase
Sant_0360,347,malQ,4-alpha-glucanotransferase
Sant_0361,348,gntY,Putative DNA uptake protein
Sant_0362,349,gntX,"Gluconate periplasmic binding protein with phosphoribosyltransferase domain, GNT I system"
Sant_0363,350,bioH,Putative biotin biosynthesis protein
Sant_0364,351,ycjM,Sucrose phosphorylase
Sant_0365,352,feoC,Ferrous iron-sensing transcriptional regulator FeoC
Sant_0366,353,feoB,Ferrous iron transport protein B
Sant_0367,354,feoA,Ferrous iron transport protein A
Sant_0368,355,tex,Putative transcriptional accessory protein
Sant_0369,356,greA1,GreA/GreB family elongation factor
Sant_0370,357,ompR,Osmolarity response regulator
Sant_0371,358,envZ,Osmolarity sensor protein 2-component sensor kinase
Sant_0372,359,pckA,Phosphoenolpyruvate carboxykinase
Sant_0373,360,hslO,Hsp33-like chaperonin
Sant_0374,361,hslR,Heat shock protein
Sant_0375,362,yrfG,HAD-superfamily hydrolase
Sant_0376,363,igaA,Intracellular growth attenuator
Sant_0377,364,nudE,ADP-ribose diphosphatase
Sant_0378,365,mrcA,Penicillin-binding protein 1A
Sant_0379,366,hofM,Putative Tfp assembly protein
Sant_0380,367,hofN,Fimbrial assembly family protein
Sant_0381,368,-,hypothetical protein
Sant_0382,369,hofQ,Putative outer membrane porin
Sant_0383,370,aroK,Shikimate kinase I
Sant_0384,371,aroB,3-dehydroquinate synthase
Sant_0385,372,-,hypothetical protein
Sant_0386,373,dam,DNA adenine methylase
Sant_0387,374,rpe,Ribulose-phosphate 3-epimerase
Sant_0388,375,gph,Phosphoglycolate phosphatase
Sant_0389,376,trpS,Tryptophanyl-tRNA synthase
Sant_0390,377,-,Cytosine deaminase
Sant_0391,378,yjiR,GntR family transcriptional regulator
Sant_0392,379,-,High-affinity nickel-transporter
Sant_0393,380,tsgA,Transport protein
Sant_0394,381,ppiA,Peptidyl-prolyl cis-trans isomerase A (rotamase A)
Sant_0395,382,-,hypothetical protein
Sant_0396,383,fic,Filamentation induced by cAMP protein
Sant_0397,384,pabA,Para-aminobenzoate synthase component II
Sant_0398,385,argD,Ornithine aminotransferase/Succinylornithine transaminase
Sant_0399,386,yhfK,YccS/YhfK family integral membrane protein
Sant_0400,387,crp,CAMP-regulatory protein
Sant_0401,388,-,hypothetical protein
Sant_0402,389,prkB,Phosphoribulokinase
Sant_0403,390,-,hypothetical protein
Sant_0404,391,-,Lysine exporter protein
Sant_0405,392,yheS,Putative ABC transporter ATP-binding protein
Sant_0406,393,kefG,Glutathione-regulated potassium-efflux system ancillary protein KefG
Sant_0407,394,kefB,Glutathione-regulated potassium-efflux system protein
Sant_0408,395,-,hypothetical protein
Sant_0409,396,slyD,FKBP-type peptidylprolyl isomerase
Sant_0410,397,slyX,SlyX family protein
Sant_0411,398,fkpA,FKBP-type peptidyl-prolyl cis-trans isomerase
Sant_0412,399,yheO,YheO-like domain-containing protein
Sant_0413,400,tusD,Sulfurtransferase
Sant_0414,401,tusC,Sulfur relay protein
Sant_0415,402,tusB,TRNA 2-thiouridine synthesizing protein B
Sant_0416,403,rpsL,30S ribosomal protein S12
Sant_0417,404,rpsG,30S ribosomal protein S7
Sant_0418,405,fusA,Elongation factor G
Sant_0419,406,tufA,Elongation factor Tu (EF-Tu)
Sant_0420,407,-,Putative major facilitator superfamily protein
Sant_0421,408,-,hypothetical protein
Sant_0422,409,-,MarR family transcriptional regulator
Sant_0423,410,bfd,Bacterioferritin-associated ferredoxin
Sant_0424,411,bfrA,Bacterioferritin
Sant_0425,412,rpsJ,30S ribosomal protein S10
Sant_0426,413,rplC,50S ribosomal protein L3
Sant_0427,414,rplD,50S ribosomal protein L4
Sant_0428,415,rplW,50S ribosomal protein L23
Sant_0429,416,rplB,50S ribosomal protein L2
Sant_0430,417,rpsS,30S ribosomal protein S19
Sant_0431,418,rplV,50S ribosomal protein L22
Sant_0432,419,rpsC,30S ribosomal protein S3
Sant_0433,420,rplP,50S ribosomal protein L16
Sant_0434,421,rpmC,50S ribosomal protein L29
Sant_0435,422,rpsQ,30S ribosomal protein S17
Sant_0436,423,rplN,50S ribosomal protein L14
Sant_0437,424,rplX,50S ribosomal protein L24
Sant_0438,425,rplE,50S ribosomal protein L5
Sant_0439,426,rpsN,30S ribosomal protein S14
Sant_0440,427,rpsH,30S ribosomal protein S8
Sant_0441,428,rplF,50S ribosomal protein L6
Sant_0442,429,rplR,50S ribosomal protein L18
Sant_0443,430,rpsE,30S ribosomal protein S5
Sant_0444,431,rpmD,50S ribosomal protein L30
Sant_0445,432,rplO,50S ribosomal protein L15
Sant_0446,433,secY,Preprotein translocase subunit
Sant_0447,434,rpmJ1,50S ribosomal protein L36
Sant_0448,435,rpsM,30S ribosomal protein S13
Sant_0449,436,rpsK,30S ribosomal subunit protein S11
Sant_0450,437,rpsD,30S ribosomal protein S4
Sant_0451,438,rpoA,DNA-directed RNA polymerase subunit alpha
Sant_0452,439,rplQ,50S ribosomal protein L17
Sant_0453,440,-,Putative ankyrin repeat-containing protein
Sant_0454,441,-,"Ferric-rhodotorulic acid outer membrane transporter, TonB-dependendent siderophore receptor"
Sant_0455,442,-,hypothetical protein
Sant_0456,443,-,hypothetical protein
Sant_0457,444,-,hypothetical protein
Sant_0458,445,mscL,Large-conductance mechanosensitive channel
Sant_0459,446,trkA,Potassium transporter peripheral membrane component
Sant_0460,447,rsmB,16S rRNA methyltransferase B
Sant_0461,448,fmt,Methionyl-tRNA formyltransferase
Sant_0462,449,def,Peptide deformylase
Sant_0463,450,-,DNA protecting protein
Sant_0464,451,-,hypothetical protein
Sant_0465,452,yrdD,Zn-finger domain-containing protein
Sant_0466,453,yrdC,tRNA(ANN) t(6)A37 threonylcarbamoyladenosine modification protein
Sant_0467,454,aroE,Shikimate 5-dehydrogenase
Sant_0468,455,-,hypothetical protein
Sant_0469,456,-,Putative transferase
Sant_0477,457,-,ROK family protein
Sant_0478,458,-,hypothetical protein
Sant_0479,459,-,ABC transporter-like protein
Sant_0480,460,yhdY,Inner membrane amino-acid ABC transporter permease protein
Sant_0481,461,yhdX,Putative amino-acid ABC transporter permease
Sant_0482,462,-,Amino-acid ABC transporter-binding protein
Sant_0483,463,cspA3,Major cold shock protein
Sant_0485,464,-,hypothetical protein
Sant_0486,465,fimA,P pilus assembly protein
Sant_0487,466,safC,Pilin outer membrane usher protein
Sant_0488,467,-,Fimbrial protein
Sant_0489,468,fimC1,Fimbrial chaperone protein
Sant_0490,469,fis,DNA-binding protein
Sant_0491,470,dusB,TRNA-dihydrouridine synthase B
Sant_0492,471,prmA,Ribosomal protein L11 methyltransferase
Sant_0493,472,panF,Sodium/panthothenate symporter
Sant_0494,473,-,hypothetical protein
Sant_0495,474,accC,Acetyl-CoA carboxylase biotin carboxylase subunit
Sant_0496,475,accB,Acetyl-CoA carboxylase biotin carboxyl carrier protein subunit
Sant_0497,476,aroQ,3-dehydroquinate dehydratase
Sant_0498,477,yedZ,Putative sulfite oxidase subunit
Sant_0499,478,yedY,Putative sulfite oxidase subunit
Sant_0500,479,csrD,"Regulatory protein, CsrB/C sRNA degradationfactor"
Sant_0501,480,mreB,Rod shape-determining protein
Sant_0502,481,mreC,Cell wall structural complex MreBCD transmembrane component
Sant_0503,482,mreD,Rod shape-determining protein
Sant_0504,483,yhdE,Putative septum formation inhibitor protein
Sant_0505,484,rng,Ribonuclease G
Sant_0506,485,yhdP,Hypothetical protein
Sant_0507,486,tldD,Putative modulator of DNA gyrase
Sant_0508,487,aaeR,Putative DNA-binding transcriptional regulator
Sant_0509,488,aaeX,Aaex family protein
Sant_0510,489,aaeA,P-hydroxybenzoic acid efflux subunit
Sant_0511,490,aaeB,P-hydroxybenzoic acid efflux subunit
Sant_0512,491,gabD,Succinate-semialdehyde dehydrogenase
Sant_0513,492,-,hypothetical protein
Sant_0514,493,-,hypothetical protein
Sant_0515,494,pmbA,Putative modulator of DNA gyrase
Sant_0516,495,cybC,Soluble cytochrome b562
Sant_0517,496,-,2-dehydropantoate 2-reductase
Sant_0518,497,-,"Glycoside hydrolase 15-like protein, Glucoamylase"
Sant_0519,498,-,Putative membrane protein
Sant_0520,499,gldA,Glycerol dehydrogenase
Sant_0521,500,-,Putative mechanosensitive (Mcs) ion channel protein
Sant_0522,501,-,Phosphinothricin N-acetyltransferase
Sant_0524,502,-,"H+ symporter family protein, putative sugar transporter"
Sant_0525,503,mdoD,Glucan biosynthesis protein D
Sant_0526,504,-,"Putative ABC transporter, periplasmic subunit"
Sant_0527,505,tauB,Taurine import ATP-binding protein
Sant_0528,506,-,"ABC transporter, membrane subunit"
Sant_0529,507,-,PQQ enzyme repeat protein
Sant_0530,508,-,"Putative regulatory protein, LacI family"
Sant_0531,509,katA,Catalase
Sant_0532,510,-,Putative thiol-disulfide oxidoreductase DCC
Sant_0533,511,-,Glucose-1-phosphatase
